parallax,phot_g_mean_mag,bp_rp
5.285629051424684,19.705393,0.95931435
1.2504173353997912,19.689274,0.8329811
0.350873233412045,18.83374,
0.938747079158815,19.97811,0.8161144
0.3192754165825277,19.61626,0.85508156
0.27651866968317645,20.365568,
,20.399363,
,20.919556,
,20.58608,
,20.540491,
,20.857145,
0.4871751384063849,19.709885,0.6640682
0.18015075939008207,18.25763,0.71024895
0.43348678671823365,19.157036,
0.48996167296543564,19.736076,
0.4152674901976786,19.14269,1.0114307
0.04246649455349887,19.36585,0.774498
0.28291756967231857,16.262777,0.8098717
-1.5511834728019496,20.342607,
0.5077913760199864,19.092701,0.8469372
1.1705396548900413,19.707502,0.98736954
0.34344726116108976,19.930208,1.3738346
-0.7449691420154904,19.681486,0.9935341
-0.892295981936885,20.413202,
0.5575758773009756,18.694103,0.7617531
0.4728484203134393,20.156672,0.93579483
-0.05264278446576593,19.564613,1.066555
-2.010828994939252,19.182268,0.6897373
,20.610638,1.60643
-0.28847894008812547,20.15281,0.9142761
0.8261335804895644,20.15848,1.0491638
0.14861387472120274,20.099579,0.7788143
0.1883940665849365,20.05206,1.0458622
0.9224464734220703,19.632576,0.86019516
0.2521309233067609,19.878136,0.84775734
0.9739603179870545,20.126856,2.5302162
0.8924612007794318,19.833366,0.92422676
0.05375922336151931,20.215696,0.9989433
0.1933749255651206,20.049454,0.9266472
1.5890333106503491,20.62916,0.99461555
0.6086202382809875,20.567284,
,20.86446,0.72488403
-0.2811060469063968,20.428692,1.3666553
-0.027026996072414745,20.200134,0.97346306
0.834468720600623,20.209618,1.1935272
-0.1473365770667999,19.843468,0.7645931
0.8030046495466661,20.152294,1.009304
0.36346200601302564,20.495258,1.0229855
,20.842455,
0.6181054209144287,20.845276,1.0981712
,20.778463,
,20.85805,
,20.832357,2.2177582
,20.424538,
,20.77394,1.2195702
,20.979622,
2.5679335315974634,20.488205,
-1.2753721771340674,20.539444,1.2043552
-1.051002420172459,20.401405,0.7527962
-3.9377733743142223,20.264101,0.8913536
-0.2576311179597025,20.404472,0.683445
,20.230247,
0.15347808807714586,19.211332,0.85245323
0.0972513565553488,20.24853,1.4094448
0.12825177094640478,19.02882,0.80255127
0.31826403321495184,20.489708,0.3538952
-0.20965835171407673,20.52842,0.8634453
-0.6978543935388483,20.33946,0.6552048
0.3227800649627737,20.46314,0.7986126
0.1911326965050716,19.224157,0.5722008
,20.426226,
1.4663368994197499,20.454456,
0.6995087100569629,20.29406,
,20.748657,0.5619259
,20.735453,0.7304001
1.3126262590418065,19.13426,0.79319
0.13251552437047778,18.145123,0.7311096
-0.8179605650713985,19.09065,0.8014641
,19.886452,
0.5788395990473738,18.25631,
-0.6555572893414512,19.798378,0.71147346
0.20560911763647852,19.286112,0.7434025
0.773900825392972,20.177563,1.0953064
0.20019857038074135,18.640526,0.7569828
,20.615587,
